Player,Player_ID,SEASON_ID,League_id,Team_id,Team_Abbreviation,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION
Katie Lou Samuelson,1629478.0,2022-23,10,1611661320.0,LAS,26.0,32,29,943.0,107,287,0.373,56,159,0.352,41,49,0.837,17,78,95,62,33,7,34,52,311,,,,
Katie Lou Samuelson,1629478.0,2024-25,10,1611661325.0,IND,27.0,37,15,674.0,51,146,0.349,33,100,0.33,24,25,0.96,17,68,85,51,12,9,18,53,159,,,,
Victaria Saxton,1641687.0,2023-24,10,1611661325.0,IND,24.0,15,0,54.0,6,18,0.333,1,2,0.5,6,7,0.857,2,8,10,0,1,0,6,9,19,,,,
Victaria Saxton,1641687.0,2024-25,10,1611661325.0,IND,25.0,9,0,23.0,3,9,0.333,1,4,0.25,1,2,0.5,0,3,3,0,0,0,1,4,8,,,,
Jacy Sheldon,1642292.0,2024-25,10,1611661321.0,DAL,24.0,40,26,931.0,81,210,0.386,30,97,0.309,25,27,0.926,27,55,82,99,23,12,63,101,217,,,,
Jaylyn Sherrod,1642320.0,2024-25,10,1611661313.0,NYL,23.0,10,0,37.0,7,14,0.5,2,6,0.333,3,6,0.5,2,1,3,5,3,1,2,4,19,,,,
Maddy Siegrist,1641652.0,2023-24,10,1611661321.0,DAL,24.0,39,0,319.0,57,112,0.509,5,15,0.333,27,29,0.931,36,25,61,8,8,7,9,28,146,,,,
Maddy Siegrist,1641652.0,2024-25,10,1611661321.0,DAL,24.0,27,13,644.0,106,210,0.505,10,37,0.27,33,43,0.767,43,47,90,27,10,10,15,33,255,,,,
Odyssey Sims,203824.0,2014-15,10,1611661321.0,TUL,22.0,34,31,1169.0,201,495,0.406,47,136,0.346,120,143,0.839,28,68,96,142,44,10,70,87,569,,,,
Odyssey Sims,203824.0,2015-16,10,1611661321.0,TUL,23.0,23,19,723.0,114,309,0.369,18,87,0.207,122,144,0.847,16,62,78,88,25,1,64,55,368,,,,
Odyssey Sims,203824.0,2016-17,10,1611661321.0,DAL,24.0,34,30,1074.0,153,433,0.353,42,150,0.28,128,145,0.883,20,66,86,131,37,7,86,78,476,,,,
Odyssey Sims,203824.0,2017-18,10,1611661320.0,LAS,25.0,31,14,752.0,113,253,0.447,11,58,0.19,62,70,0.886,14,45,59,108,45,5,44,60,299,,,,
Odyssey Sims,203824.0,2018-19,10,1611661320.0,LAS,26.0,34,24,867.0,104,268,0.388,15,55,0.273,57,79,0.722,14,70,84,95,20,1,52,56,280,,,,
Odyssey Sims,203824.0,2019-20,10,1611661324.0,MIN,27.0,34,34,1083.0,189,455,0.415,25,93,0.269,89,112,0.795,24,90,114,185,46,4,112,68,492,,,,
Odyssey Sims,203824.0,2020-21,10,1611661324.0,MIN,28.0,13,7,240.0,42,104,0.404,8,24,0.333,30,33,0.909,8,18,26,45,7,1,25,22,122,,,,
Odyssey Sims,203824.0,2021-22,10,1611661330.0,ATL,29.0,30,21,753.0,105,284,0.37,16,69,0.232,35,48,0.729,15,60,75,108,37,2,49,45,261,,,,
Odyssey Sims,203824.0,2022-23,10,1611661324.0,MIN,30.0,2,0,54.0,7,23,0.304,1,4,0.25,4,9,0.444,1,6,7,7,1,2,5,4,19,,,,
Odyssey Sims,203824.0,2022-23,10,1611661323.0,CON,30.0,5,0,91.0,10,30,0.333,3,11,0.273,6,6,1.0,1,5,6,13,7,0,7,7,29,,,,
Odyssey Sims,203824.0,2022-23,10,0.0,TOT,30.0,7,0,145.0,17,53,0.321,4,15,0.267,10,15,0.667,2,11,13,20,8,2,12,11,48,,,,
Odyssey Sims,203824.0,2023-24,10,1611661321.0,DAL,31.0,28,0,335.0,21,69,0.304,2,15,0.133,11,20,0.55,8,29,37,62,12,0,17,31,55,,,,
Odyssey Sims,203824.0,2024-25,10,1611661321.0,DAL,32.0,9,7,305.0,61,114,0.535,16,32,0.5,17,26,0.654,11,15,26,50,15,4,16,15,155,,,,
Odyssey Sims,203824.0,2024-25,10,1611661320.0,LAS,32.0,15,10,395.0,56,128,0.438,4,26,0.154,31,37,0.838,6,19,25,77,13,1,36,21,147,,,,
Odyssey Sims,203824.0,2024-25,10,0.0,TOT,32.0,24,17,700.0,117,242,0.483,20,58,0.345,48,63,0.762,17,34,51,127,28,5,52,36,302,,,,
Alanna Smith,1629501.0,2019-20,10,1611661317.0,PHO,23.0,18,0,134.0,8,41,0.195,2,18,0.111,1,2,0.5,11,24,35,4,5,5,8,18,19,,,,
Alanna Smith,1629501.0,2020-21,10,1611661317.0,PHO,24.0,19,0,296.0,43,102,0.422,10,43,0.233,20,29,0.69,21,48,69,23,5,15,18,47,116,,,,
Alanna Smith,1629501.0,2021-22,10,1611661317.0,PHO,25.0,18,0,117.0,8,34,0.235,4,21,0.19,1,4,0.25,5,19,24,10,7,6,6,10,21,,,,
Alanna Smith,1629501.0,2022-23,10,1611661325.0,IND,26.0,9,1,116.0,14,42,0.333,6,25,0.24,5,7,0.714,8,16,24,5,8,6,8,17,39,,,,
Alanna Smith,1629501.0,2023-24,10,1611661329.0,CHI,27.0,38,35,1007.0,132,265,0.498,30,102,0.294,55,81,0.679,70,179,249,68,49,50,56,116,349,,,,
Alanna Smith,1629501.0,2024-25,10,1611661324.0,MIN,28.0,39,39,1035.0,147,312,0.471,47,118,0.398,54,72,0.75,61,158,219,124,53,57,76,119,395,,,,
